date;age60;reported;nowcast_est;nowcast_lwr;nowcast_upr;reported7;nowcast7_est;nowcast7_lwr;nowcast7_upr;F_est;F_lwr;F_upr
2021-08-31;alle;68;68,0;68,0;68,0;464;464,0;464,0;464,0;NA;NA;NA
2021-08-31;ja;20;20,0;20,0;20,0;154;154,0;154,0;154,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-08-31;nein;48;48,0;48,0;48,0;310;310,0;310,0;310,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-08-30;alle;67;67,0;67,0;67,0;467;467,0;467,0;467,0;NA;NA;NA
2021-08-30;ja;23;23,0;23,0;23,0;150;150,0;150,0;150,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-08-30;nein;44;44,0;44,0;44,0;317;317,0;317,0;317,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-08-29;alle;56;56,0;56,0;56,0;485;485,0;485,0;485,0;NA;NA;NA
2021-08-29;ja;16;16,0;16,0;16,0;150;150,0;150,0;150,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-08-29;nein;40;40,0;40,0;40,0;335;335,0;335,0;335,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-08-28;alle;73;73,0;73,0;73,0;489;489,0;489,0;489,0;NA;NA;NA
2021-08-28;ja;26;26,0;26,0;26,0;149;149,0;149,0;149,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-08-28;nein;47;47,0;47,0;47,0;340;340,0;340,0;340,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-08-27;alle;64;64,0;64,0;64,0;462;462,0;462,0;462,0;NA;NA;NA
2021-08-27;ja;21;21,0;21,0;21,0;134;134,0;134,0;134,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-08-27;nein;43;43,0;43,0;43,0;328;328,0;328,0;328,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-08-26;alle;57;57,0;57,0;57,0;464;464,0;464,0;464,0;NA;NA;NA
2021-08-26;ja;19;19,0;19,0;19,0;130;130,0;130,0;130,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
